t1_i1,t1_i2,t1_i3,t1_i4,t1_i5,t2_i1,t2_i2,t2_i3,t2_i4,t2_i5,t3_i1,t3_i2,t3_i3,t3_i4,t3_i5,t4_i1,t4_i2,t4_i3,t4_i4,t4_i5,t5_i1,t5_i2,t5_i3,t5_i4,t5_i5,label
0.0305,0.1099,0.0951,0.4277,0.9844,0.0243,0.1115,0.4289,1.0,0.4191,0.078,0.4397,0.9629,0.3856,0.0839,0.4711,0.9617,0.3963,0.1158,0.0031,0.8908,0.4266,0.0971,0.0757,0.0365,rl
0.0264,0.0745,0.1496,0.478,0.8065,0.0404,0.1617,0.4797,0.8746,0.371,0.1713,0.4645,0.9235,0.4639,0.1334,0.5049,0.8168,0.5123,0.1098,0.1196,0.8753,0.4991,0.1071,0.0671,0.0825,rl
0.0691,0.0133,0.1193,0.5161,0.9643,0.0902,0.1654,0.5817,0.9841,0.5556,0.1279,0.5523,0.9967,0.5216,0.1482,0.5538,0.9317,0.6923,0.1513,0.0492,0.9899,0.4988,0.2435,0.1331,0.0642,rl
0.0799,0.074,0.0766,0.5098,0.8296,0.05,0.1784,0.475,0.8681,0.4886,0.172,0.5153,0.849,0.4554,0.178,0.4923,0.9026,0.5083,0.1721,0.0541,0.8183,0.4949,0.1048,0.0399,0.0737,rl
0.0479,0.0606,0.045,0.4742,0.9436,0.0649,0.1152,0.4091,0.9655,0.4403,0.0995,0.3816,0.9719,0.3866,0.0495,0.397,1.0,0.4756,0.1668,0.0498,0.9361,0.3858,0.1318,0.0,0.0404,rl
0.8802,0.3674,0.0354,0.0189,0.0412,0.4015,0.9644,0.4609,0.1493,0.0377,0.097,0.4089,0.917,0.4087,0.113,0.0936,0.0404,0.4084,0.9569,0.4966,0.133,0.0671,0.0947,0.4586,0.9174,lr
0.0281,0.0079,0.0232,0.4488,0.7938,0.0104,0.1085,0.4189,0.7146,0.4497,0.1068,0.3033,0.7957,0.3551,0.0576,0.4363,0.7644,0.4135,0.069,0.0772,0.7989,0.424,0.1199,0.0152,0.0681,rl
0.1104,0.0277,0.1283,0.5089,0.8235,0.0734,0.1222,0.4752,0.8082,0.3982,0.1129,0.4065,0.857,0.5035,0.1104,0.5029,0.8975,0.4529,0.1834,0.0893,0.8035,0.436,0.1185,0.0628,0.0,rl
0.9577,0.5707,0.142,0.118,0.0069,0.5893,0.8979,0.6143,0.1907,0.0795,0.1814,0.558,0.9589,0.568,0.1893,0.0739,0.0769,0.5518,0.9883,0.6206,0.0692,0.0675,0.152,0.5918,0.9555,lr
0.0372,0.1114,0.1043,0.4468,0.7937,0.0672,0.1707,0.5326,0.8524,0.4838,0.1143,0.5404,0.8161,0.528,0.1548,0.5255,0.8808,0.4748,0.1344,0.1072,0.8836,0.5244,0.1331,0.0147,0.086,rl
0.1039,0.0,0.1686,0.5436,0.905,0.0257,0.0478,0.4365,0.9691,0.4284,0.072,0.4171,0.8986,0.444,0.0635,0.4928,0.915,0.4512,0.1057,0.0177,0.9724,0.3854,0.0416,0.0486,0.0,rl
0.798,0.3731,0.058,0.0354,0.0825,0.3246,0.8133,0.3871,0.0817,0.035,0.0211,0.3228,0.7313,0.363,0.0678,0.0301,0.1138,0.3666,0.7898,0.3816,0.0984,0.0063,0.108,0.2988,0.7604,lr
0.0403,0.092,0.0732,0.316,0.8433,0.0276,0.1099,0.308,0.8218,0.3383,0.0704,0.3287,0.8754,0.3307,0.0438,0.2866,0.8189,0.3502,0.0566,0.0457,0.8478,0.3119,0.068,0.0046,0.0241,rl
0.8417,0.4022,0.0951,0.0243,0.0786,0.3913,0.8241,0.3687,0.1297,0.0405,0.0678,0.391,0.8303,0.3975,0.0707,0.0137,0.0373,0.3525,0.8395,0.3954,0.0,0.0784,0.0776,0.3312,0.8884,lr
0.8811,0.4167,0.1093,0.0593,0.074,0.4104,0.8067,0.4677,0.1097,0.1083,0.08,0.4041,0.8018,0.4074,0.0408,0.0708,0.0698,0.4355,0.8257,0.4334,0.0744,0.037,0.1333,0.388,0.803,lr
0.8019,0.5551,0.0974,0.0274,0.0,0.496,0.7575,0.5514,0.1082,0.0111,0.1389,0.5198,0.8329,0.5355,0.1601,0.0287,0.1613,0.5063,0.7895,0.549,0.0321,0.0716,0.1061,0.5189,0.7941,lr
0.8747,0.463,0.0281,0.0208,0.0104,0.4596,0.901,0.443,0.0876,0.0,0.0368,0.4376,0.9391,0.4536,0.115,0.0223,0.0727,0.416,0.8884,0.4045,0.0102,0.0234,0.0464,0.4345,0.84,lr
0.7869,0.4164,0.0724,0.0,0.0465,0.4123,0.8527,0.3367,0.0243,0.0824,0.1218,0.4155,0.741,0.3707,0.1207,0.0737,0.0682,0.3717,0.8807,0.4009,0.0,0.0866,0.0,0.4429,0.8466,lr
0.8449,0.4749,0.1602,0.0491,0.0527,0.5142,0.7839,0.5468,0.1302,0.0317,0.2134,0.5504,0.8023,0.608,0.12,0.1482,0.1772,0.5293,0.8254,0.4709,0.0725,0.0469,0.1614,0.4988,0.8567,lr
0.8368,0.3709,0.1305,0.0133,0.0761,0.3416,0.8038,0.349,0.1094,0.0527,0.0701,0.3867,0.7821,0.4276,0.1139,0.0362,0.0657,0.4012,0.8139,0.3715,0.0197,0.0253,0.0486,0.404,0.8086,lr
0.0179,0.0573,0.1328,0.5325,0.8905,0.0158,0.1032,0.5285,0.8429,0.5579,0.1631,0.51,0.8274,0.5508,0.1421,0.5377,0.8447,0.4699,0.1936,0.0303,0.9091,0.5345,0.1482,0.0,0.0152,rl
